Artist and Title,daily,streams
Lost Frequencies - Are You With Me,662815,1008025928
Post Malone - Go Flex,265937,1007890201
Flo Rida - Low,815080,1007379664
Justin Timberlake - Mirrors,632982,1007258267
Chris Brown - No Guidance,399297,1006460072
Doja Cat - Streets,691274,1006076315
Rihanna - Only Girl (In The World),948900,1005130748
U2 - With Or Without You,523904,1004728503
KALEO - Way down We Go,1039255,1004422902
BLACKPINK - How You Like That,375884,1004418894
Alicia Keys - If I Ain't Got You,845751,1001498694
Elton John - I'm Still Standing,974010,1000676305
Lady Gaga - Just Dance,882050,1000462763
Kina - Get You The Moon,235524,999845609
Michael Bublé - It's Beginning to Look a Lot like Christmas,21237,998651654
Billie Eilish - bury a friend,165705,997740879
Mabel - Don't Call Me Up,270803,996718373
David Kushner - Daylight,1824464,996460734
Shawn Mendes - If I Can't Have You,239266,995864247
Arctic Monkeys - R U Mine?,539785,995531817
TLC - No Scrubs,828990,995484000
Frank Ocean - Lost,724933,994970463
Lil Nas X - Old Town Road,198177,994404124
Eminem - The Monster,428082,992076745
The Clash - Should I Stay or Should I Go,439481,991927887
Måneskin - I WANNA BE YOUR SLAVE,691442,989779139
Kanye West - Flashing Lights,1037703,989742087
Liam Payne - Strip That Down,149135,987454309
Olivia Rodrigo - favorite crime,1011451,982897863
Aerosmith - I Don't Want To Miss A Thing,404692,981501540
Bee Gees - Stayin Alive,540513,980512196
Calvin Harris - My Way,369657,978548533
The Notorious B.I.G. - Big Poppa,685541,978541657
MEDUZA - Piece Of Your Heart,203812,977909166
Eminem - Not Afraid,373718,977770601
Lizzo - Truth Hurts,192091,977194634
Van Morrison - Brown Eyed Girl,982917,976745338
Avicii - Hey Brother,415166,976460031
Shakira - Chantaje,334508,975914756
Disclosure - Latch,486607,975718859
Coldplay - Adventure of a Lifetime,437524,975482680
Shaggy - It Wasn't Me,454842,974937432
girl in red - we fell in love in october,771561,974444669
Tate McRae - greedy,4808336,972569924
Bad Bunny - Vete,228743,972525996
BlocBoy JB - Look Alive,112823,972442892
Mr. Probz - Waves,304260,971226364
JAY-Z - Numb / Encore,396209,971020661
Jimin - Like Crazy,3210364,967815132
Rihanna - S&M,821819,966227935
Bad Bunny - LA NOCHE DE ANOCHE,275475,965927310
Hoobastank - The Reason,515863,965788495
Rag'n'Bone Man - Human,559591,965262036
George Michael - Careless Whisper,756380,965061138
JAY-Z - Empire State Of Mind,772618,964745113
Bruno Mars - Treasure,423506,964195488
Dr. Dre - The Next Episode,630356,963828294
Zac Efron - Rewrite The Stars,328430,963342594
Bobby Helms - Jingle Bell Rock,26397,962403612
Daniel Caesar - Get You,735879,962229608
"Drake - Hold On, We're Going Home",398992,960065598
Sam Smith - How Do You Sleep?,182636,959242574
Red Hot Chili Peppers - Otherside,552458,958718234
MNEK - Never Forget You,201966,957889508
Rosa Linn - SNAP,1073646,957774578
Ed Sheeran - The A Team,239387,957742762
Drake - Fake Love,132411,956874353
"Ariana Grande - break up with your girlfriend, i'm bored",242927,956830496
American Authors - Best Day Of My Life,514196,956563831
Black Eyed Peas - Where Is The Love?,532322,956445943
Gucci Mane - Wake Up in the Sky,514928,955940869
Y2K - Lalala,141104,955915670
Ariana Grande - 34+35,316193,955844798
The Weeknd - Reminder,817236,955797005
Lil Uzi Vert - 20 Min,544927,955686079
Khalid - Talk,222799,954710871
Rae Sremmurd - Black Beatles,217507,954147384
Nickelback - How You Remind Me,978829,953590365
d4vd - Here With Me,1060168,952980584
Nicky Jam - X,270237,952368880
The Weeknd - Stargirl Interlude,1256197,952283317
Florence + The Machine - Dog Days Are Over,706477,950927449
ROSALÍA - DESPECHÁ,774223,950565167
R. City - Locked Away,346559,950282590
Yng Lvcas - La Bebe,1098223,949929322
KAROL G - TQG,1167359,949534509
Drake - Money In The Grave (Drake ft. Rick Ross),239150,949285791
Stephen Sanchez - Until I Found You,954397,947965863
Riton - Friday,366946,947884589
Black Eyed Peas - RITMO (Bad Boys For Life),177979,946930951
KYLE - iSpy,189961,946552283
The Weeknd - Often,489398,945315164
Rauw Alejandro - Desesperados,1015016,945099041
Led Zeppelin - Stairway to Heaven,409748,944579020
Daryl Hall & John Oates - You Make My Dreams (Come True),909259,943644374
Dominic Fike - 3 Nights,360943,943585832
Bruno Mars - Marry You,549601,942982375
Taylor Swift - Delicate,663865,942799667
Doja Cat - Paint The Town Red,1852629,942625092
Fleetwood Mac - Go Your Own Way,512029,941702987
XXXTENTACION - the remedy for a broken heart (why am I so in love),196234,940811895
Drake - Laugh Now Cry Later,267597,940662302
Akon - Smack That,966877,940627748
Jonas Blue - Mama,164740,940256690
Lunay - Soltera (Remix),260517,939763606
Kygo - Stole the Show,241084,939690179
Dennis Lloyd - Nevermind,356322,938772502
Miley Cyrus - We Can't Stop,545527,937988146
Nico & Vinz - Am I Wrong,351410,937288645
The Weeknd - Heartless,530007,937274743
Lil Uzi Vert - The Way Life Goes,357447,935978975
Bryson Tiller - Exchange,646759,935962623
Ed Sheeran - I See Fire,141577,935843694
Dua Lipa - Physical,304274,934832522
Juice WRLD - Come & Go,360114,934206886
Grupo Frontera - un x100to,920136,933935274
Taylor Swift - Wildest Dreams,395935,932932542
The Weeknd - I Was Never There,778421,932456182
Maroon 5 - Don't Wanna Know,170793,932053454
Electric Light Orchestra - Mr. Blue Sky,476882,931991522
Ozuna - Hey Mor,683762,931872768
Surfaces - Sunday Best,235687,931186391
Bob Marley & The Wailers - Three Little Birds,760159,930278805
The Animals - House of the Rising Sun,483162,928186026
Sia - Snowman,288658,928018759
Amy Winehouse - Back To Black,575500,927966394
Billie Eilish - bellyache,424761,927123217
KISS - I Was Made For Lovin' You,663370,926552395
Billie Eilish - Bored,527520,924298799
Migos - Bad and Boujee,151131,924048767
Khalid - Love Lies,173696,923223377
Ava Max - Kings & Queens,433077,922493876
Niall Horan - Slow Hands,301461,922414988
Imagine Dragons - On Top Of The World,433738,920612010
Stephen Sanchez - Until I Found You,1080053,919292399
Niall Horan - This Town,550887,918738421
Mario - Let Me Love You,606772,918510391
Maluma - Felices los 4,193592,918121999
G-Eazy - Him & I,412781,918035068
The Weeknd - In Your Eyes,277846,917432567
Luis Fonsi - Échame La Culpa,200420,917237951
21 Savage - a lot,484819,917045386
"The Offspring - You're Gonna Go Far, Kid",592644,916783410
Calvin Harris - Feel So Close,615179,915179727
Rihanna - Don't Stop The Music,717770,913619102
Kygo - Higher Love,327211,913415095
Green Day - American Idiot,516976,913185538
Dua Lipa - Levitating,344321,912512667
MEDUZA - Lose Control,281798,912394105
50 Cent - Candy Shop,590971,911524212
Ty Dolla $ign - Or Nah,514581,911210553
Kanye West - POWER,298348,910569466
Avicii - Levels,577736,910508870
Mark Ronson - Nothing Breaks Like a Heart,411787,910267875
The Kid LAROI - WITHOUT YOU,321471,909581387
Wham! - Wake Me Up Before You Go-Go,436273,909403580
Bruno Mars - The Lazy Song,437469,909114254
"Tyler, The Creator - EARFQUAKE",582294,908601502
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",689886,908338310
Harry Styles - Late Night Talking,694951,907937302
Drake - Jimmy Cooks,872236,906214627
J. Cole - Work Out,647868,905899405
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),549829,905883467
Juice WRLD - Bandit,271408,905102570
Guns N' Roses - November Rain,434347,904415081
George Ezra - Shotgun,250433,903531381
3 Doors Down - Kryptonite,553552,899203577
Calvin Harris - Blame,357127,899197924
Kanye West - Bound 2,659373,897391546
Zion & Lennox - Otra vez,213896,895994492
Frank Ocean - Thinkin Bout You,904373,895609566
My Chemical Romance - Teenagers,573228,895540125
Justin Bieber - Baby,720645,895362025
4 Non Blondes - What's Up?,491775,894365538
The Weeknd - After Hours,614247,894192606
Paulo Londra - Adan y Eva,207776,894001682
Sia - Elastic Heart,333446,893816954
Polo G - RAPSTAR,472030,893365266
Maggie Lindemann - Pretty Girl,83536,893326956
Taylor Swift - You Need To Calm Down,560345,893026808
Surf Mesa - ily (i love you baby),244127,892583601
Chris Stapleton - Tennessee Whiskey,753968,891731258
Miley Cyrus - Wrecking Ball,663900,889694536
Noah Cyrus - July,935963,889431521
Mustard - Ballin',243557,888331052
Harry Styles - Golden,270553,887878534
Starley - Call on Me,157919,887683231
Billie Eilish - i love you,387742,887075285
The Temptations - My Girl,543789,886658687
A Boogie Wit da Hoodie - Drowning,432759,886126990
Shawn Mendes - In My Blood,183234,885800055
The Weeknd - Pray For Me,371782,885443276
Coldplay - Sparks,1218095,884650089
Ariana Grande - Love Me Harder,427613,883168470
Tainy - Lo Siento BB:/,354518,883024726
Don Toliver - No Idea,553517,881790068
GROUPLOVE - Tongue Tied,499996,880471255
Cardi B - Bodak Yellow,148514,880264811
Jimmy Eat World - The Middle,683921,878201410
Metro Boomin - Space Cadet,492983,877713682
Camila Cabello - Bam Bam,387808,877677513
Rachel Platten - Fight Song,371487,877147972
The Jackson 5 - I Want You Back,450729,876994169
Juice WRLD - Wishing Well,330408,876876828
Tove Lo - Habits (Stay High),554598,876756379
Edward Sharpe & The Magnetic Zeros - Home,406582,876567611
Iyaz - Replay,522085,875887540
Ariana Grande - Break Free,290791,874630647
Bad Bunny - La Santa,465671,874287282
Lauv - i'm so tired...,160877,873938902
Miley Cyrus - Angels Like You,1166950,872659027
Katy Perry - The One That Got Away,594168,872575061
Macklemore - Glorious,324066,871149808
David Guetta - Memories,754607,870848988
NATTI NATASHA - Criminal,245527,870189568
Empire Of The Sun - Walking On A Dream,610840,868646179
Rage Against The Machine - Killing In The Name,536145,868013758
Feid - Feliz Cumpleaños Ferxxo,951434,866469271
James Blunt - You're Beautiful,336055,865294494
Owl City - Fireflies,397876,864940605
Olivia Rodrigo - vampire,2121553,864665347
SZA - Snooze,1671957,864018389
Red Hot Chili Peppers - Scar Tissue,653576,863840662
Simple Minds - Don't You (Forget About Me),615121,863740020
Eminem - Superman,601503,861417327
Jonas Blue - Rise,147419,860838970
System Of A Down - Toxicity,739899,860748075
Taylor Swift - Love Story,416689,860690227
Queen - Somebody To Love,368139,860690076
Lana Del Rey - Video Games,496385,860558170
Becky G - MAMIII,618993,859193502
Galantis - Runaway (U & I),446199,858776344
Cage The Elephant - Cigarette Daydreams,738482,856140502
Galantis - No Money,167249,856047416
Fleetwood Mac - Everywhere,683019,856032995
Van Halen - Jump,401216,855624471
Sam Hunt - Body Like A Back Road,238679,854986862
Panic! At The Disco - I Write Sins Not Tragedies,400067,854930077
"Pink Floyd - Another Brick In The Wall, Pt. 2",435663,854329505
Doja Cat - Boss Bitch,337889,854325768
Bob Marley & The Wailers - Could You Be Loved,993092,854179180
Katy Perry - I Kissed A Girl,589368,853689195
Future - Low Life,514257,853476066
Coldplay - Clocks,505706,852958095
Bad Bunny - Si Estuviésemos Juntos,527871,852003518
Piso 21 - Déjala Que Vuelva,318567,851967238
Tiësto - Jackie Chan,152123,851106418
Nicky Jam - El Perdón,240668,850714351
Juice WRLD - Lean Wit Me,397900,850710250
Bad Bunny - Safaera,221155,849975949
Gesaffelstein - Lost in the Fire,751790,849768846
KAROL G - BICHOTA,243961,848521413
David Guetta - Sexy Bitch,637759,848519640
Pixies - Where Is My Mind?,522353,848423677
Myke Towers - LALA,1247611,847617333
AURORA - Runaway,441518,847389069
Elvis Presley - Can't Help Falling in Love,498933,846088558
Elton John - Your Song,577555,844846695
Blur - Song 2,560490,844229143
Andy Williams - It's the Most Wonderful Time of the Year,13145,843526176
Tracy Chapman - Fast Car,627743,843482967
Ariana Grande - Problem,253205,841258522
Daddy Yankee - Gasolina,766871,840494843
Flo Rida - Wild Ones,446474,838662512
DRAM - Broccoli,107869,838545883
Kenny Loggins - Footloose,380694,838445801
Maroon 5 - One More Night,577533,838178601
Kenny Loggins - I'm Free (Heaven Helps the Man),366358,838065107
Taylor Swift - ME!,302372,837679743
Billie Eilish - you should see me in a crown,238951,837003596
Polo G - Pop Out,388841,836812951
The Offspring - The Kids Aren't Alright,845773,834792639
Jason Mraz - I Won't Give Up,212659,834221412
Polo G - Martin & Gina,626313,833960252
Camila Cabello - Never Be the Same,223139,833761155
Bill Withers - Ain't No Sunshine,1231371,833414201
The Weeknd - Die For You,988630,832990354
Robin Thicke - Blurred Lines,254588,830991531
Aaron Smith - Dancin,266704,830843217
Katy Perry - Hot N Cold,773598,830604312
Bon Jovi - It's My Life,552442,830596930
Rihanna - Bitch Better Have My Money,247161,829591962
Billy Joel - Uptown Girl,975052,829495919
Oasis - Don't Look Back In Anger,447059,828267482
CKay - love nwantiti (ah ah ah),331035,827352090
"Olivia Rodrigo - jealousy, jealousy",773008,826674122
Ruth B. - Lost Boy,183204,825599758
Leona Lewis - Bleeding Love,321637,825129093
Rob $tone - Chill Bill,314456,824888828
Lizzo - About Damn Time,312160,824688096
Plan B - Es un Secreto,1234757,822090624
Nicky Youre - Sunroof,636359,822045873
The Neighbourhood - Softcore,1127042,821444011
Nelly - Dilemma,455211,820259792
Justin Timberlake - SexyBack,507172,819758636
Enrique Iglesias - Bailando,406215,819380864
Alicia Keys - No One,563276,818748425
Billy Joel - Piano Man,496647,818580176
Toploader - Dancing in the Moonlight,442404,817958824
Metallica - Master of Puppets (Remastered),443297,817885198
Arctic Monkeys - Fluorescent Adolescent,491989,817573811
Franz Ferdinand - Take Me Out,430699,817568495
Conan Gray - Maniac,359019,817431490
FIFTY FIFTY - Cupid,569320,817099148
Eminem - River,152058,816812388
Bad Bunny - Diles,397342,816362987
Chord Overstreet - Hold On,358069,815044387
Icona Pop - I Love It,928188,814905868
Nicki Minaj - Super Bass,549452,814890045
One Direction - Perfect,363801,814459755
J Balvin - Un Día (One Day),158365,813847670
PinkPantheress - Boy's a liar Pt. 2,525802,813582018
Ozuna - Se Preparó,381890,812741897
The Script - Breakeven,359444,811692571
David Guetta - Hey Mama,237375,811468479
Sam Smith - Like I Can,385517,811418329
Selena Gomez & The Scene - Love You Like A Love Song,607311,811185036
David Guetta - 2U,114616,810894761
Drake - Jumpman,129819,810724264
alt-J - Breezeblocks,363208,810131261
Charlie Puth - One Call Away,235568,808547517
Linkin Park - What I've Done,615143,808237158
Morgan Wallen - Last Night,1258413,808217329
BANNERS - Someone To You,441445,807943276
Kid Cudi - Day 'N' Nite,405391,807442974
Petit Biscuit - Sunset Lover,160718,807044486
Rick Astley - Never Gonna Give You Up,442115,807039471
DJ Snake - Loco Contigo,218872,806482075
Taylor Swift - I Knew You Were Trouble.,436464,806415494
Ne-Yo - So Sick,540527,804904323
Jeremy Zucker - comethru,192674,804710087
Kings of Leon - Use Somebody,436542,804675714
Lady Gaga - Million Reasons,292758,804320507
Train - Drops of Jupiter (Tell Me),556398,804077115
A Boogie Wit da Hoodie - Swervin,116881,804040128
DaBaby - BOP,273998,803930602
Mr.Kitty - After Dark,493494,803110971
Sean Paul - Temperature,590810,803091283
Swedish House Mafia - Moth To A Flame,555127,802603323
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],351488,802062633
Queen - Crazy Little Thing Called Love,871359,801694748
Creedence Clearwater Revival - Bad Moon Rising,804217,801443580
Ozuna - Vaina Loca,233964,801347169
Drake - Controlla,156775,801331968
Playboi Carti - Magnolia,450335,800757430
The Mamas & The Papas - California Dreamin',644131,800546186
Fifth Harmony - Worth It,208449,800246390
Yandel - Yandel 150,471159,799602724
Taylor Swift - willow,693056,799500295
Destiny's Child - Say My Name,625218,799217599
AWOLNATION - Sail,187956,798964076
LP - Lost on You,491437,798951702
Doja Cat - You Right,468640,798900779
Marshmello - Leave Before You Love Me,672528,798567911
Foreigner - I Want to Know What Love Is,519216,798535124
Justin Bieber - Lonely,212724,798124979
BLACKPINK - Kill This Love,262402,797780879
Bad Bunny - Neverita,391516,797395928
Neon Trees - Everybody Talks,385287,797235789
Birdy - Skinny Love,331850,797091504
Cris Mj - Una Noche en Medellín,514082,796515047
Jack Harlow - Whats Poppin,236181,796444887
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),715499,795624310
Queen - Killer Queen,522757,795563220
Miley Cyrus - Malibu,182612,795484490
Bad Bunny - Si Veo a Tu Mamá,267181,794849047
James Arthur - Rewrite The Stars,824579,794782610
Mike Perry - The Ocean,90681,794193386
Jack Harlow - First Class,306094,793480068
Childish Gambino - 3005,329234,793473753
Boston - More Than a Feeling,552193,792805759
Meghan Trainor - All About That Bass,246069,792463771
Avril Lavigne - Complicated,471752,792453385
Jack Johnson - Better Together,370950,791668106
USHER - DJ Got Us Fallin' in Love,856897,791030226
Keala Settle - This Is Me,217105,790891103
Melanie Martinez - Play Date,266566,789854238
J Balvin - Qué Más Pues?,346832,789819728
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),107218,789413693
SZA - Love Galore,444527,789056170
Wallows - Are You Bored Yet?,576174,788853279
Sebastian Yatra - Pareja Del Año,444797,787703478
Timbaland - The Way I Are,941189,787591690
Post Malone - I Like You (A Happier Song),484228,787541720
Flume - Never Be Like You,622227,787042238
Lorde - Team,262475,786373796
One Direction - Steal My Girl,406004,785462101
TV Girl - Lovers Rock,1396004,784920665
Demi Lovato - Heart Attack,611654,784149980
Ariana Grande - boyfriend,321041,784097832
Deorro - Five More Hours,258529,782300102
Natasha Bedingfield - Unwritten,2577515,782174153
Flo Rida - Whistle,368614,782038273
The Wanted - Glad You Came,410524,781947117
Billie Eilish - Therefore I Am,228598,781753366
Bruno Mars - It Will Rain,606268,781498468
Zach Bryan - Something in the Orange,1314754,781210716
Justin Bieber - Yummy,123093,781064832
Fetty Wap - 679,280910,780386055
A$AP Rocky - F**kin' Problems,324896,779957129
Feid - CLASSY 101,1129693,779923853
Luke Combs - Beautiful Crazy,518775,779909854
Katy Perry - California Gurls,651756,779737044
J Balvin - QUE PRETENDES,307452,778948286
Bruno Mars - Finesse,195393,778605126
Becky G - Shower,344701,778141792
Taylor Swift - Enchanted,443327,777859935
Wisin - Escápate Conmigo,175621,777791957
Miley Cyrus - Prisoner,225382,777028649
Demi Lovato - Cool for the Summer,358839,776890594
Mitski - My Love Mine All Mine,3210848,776161941
Drake - Rich Flex,495916,775884531
Drake - Fair Trade,551607,775237208
Tiësto - The Motto,460532,774542581
Justin Bieber - Holy,149847,774319397
Shawn Mendes - Lost In Japan,143361,774297103
Dr. Dre - Forgot About Dre,415708,774243066
Becky G - Sin Pijama,152663,773810358
THE SCOTTS - THE SCOTTS,179074,773640393
6ix9ine - FEFE,85811,773299484
ACRAZE - Do It To It,408152,772965892
Britney Spears - ...Baby One More Time,634234,772274174
Two Door Cinema Club - What You Know,452403,771087800
Billie Eilish - wish you were gay,149427,770927757
Men At Work - Down Under,472417,770710555
BTS - FAKE LOVE,367883,769641587
B.o.B - Airplanes,309351,769600492
Paramore - Misery Business,461547,768559514
James Arthur - Train Wreck,394480,768550036
Green Day - Boulevard of Broken Dreams,521163,768443928
Seafret - Atlantis,890700,768423431
The Weeknd - Party Monster,395884,768254310
Drake - Wants and Needs,311090,767094600
The 1975 - Somebody Else,251681,767094350
P!nk - What About Us,246533,767011653
Morgan Wallen - Whiskey Glasses,425408,766962350
Juice WRLD - Armed And Dangerous,262977,766741122
"Fall Out Boy - Sugar, We're Goin Down",312962,766572178
Patrick Watson - Je te laisserai des mots,946581,766142785
The Outfield - Your Love,1026739,765845728
Lewis Capaldi - Hold Me While You Wait,369403,765708550
The Killers - Somebody Told Me,657895,765633550
Bruno Mars - Versace on the Floor,384874,765460770
Dhruv - double take,572069,765192190
Eminem - Venom,263897,764927412
Big Sean - I Don't Fuck With You,233098,764906420
Migos - Walk It Talk It,178168,764717360
Gorillaz - Clint Eastwood,469525,764342561
Dua Lipa - Dance The Night,1288229,763790399
PARTYNEXTDOOR - Break from Toronto,798899,763770225
Blackstreet - No Diggity,335234,763316554
CJ - Whoopty,217468,763237471
Justin Bieber - Mistletoe,37173,763233156
Beyoncé - CUFF IT,425186,762653401
MGMT - Kids,345006,762174090
Don Omar - Dile,1084317,761950746
Martin Jensen - Solo Dance,127163,761731886
Pop Smoke - Mood Swings,308030,761470619
X Ambassadors - Renegades,369620,761002620
Soft Cell - Tainted Love,595424,760932466
Kid Cudi - Pursuit Of Happiness (Nightmare),382372,760534228
Anuel AA - Ella Quiere Beber,245378,759782318
Ellie Goulding - Burn,389602,759558285
ROSALÍA - Con Altura,155674,757724842
Justin Bieber - Beauty And A Beat,864060,757676061
Bad Bunny - A Tu Merced,239231,757662356
Aventura - Volví,242038,756744824
OneRepublic - Apologize,298121,754953900
blink-182 - I Miss You,420734,754638852
Charlie Puth - Marvin Gaye,210488,754082672
Labrinth - Formula,662835,753927708
Sleepy Hallow - 2055,654275,753353074
Lil Tjay - Calling My Phone,416139,752287841
Ed Sheeran - South of the Border,174569,751926429
Vanessa Carlton - A Thousand Miles,410721,751715753
RAYE - Escapism.,768813,751532523
Aminé - Caroline,124257,751099521
TOTO - Hold the Line,984788,750463001
Avicii - SOS,175498,749968572
Cyndi Lauper - Time After Time,858827,749009270
Luke Combs - When It Rains It Pours,442562,748892629
James Arthur - Impossible,381815,748817973
Disturbed - The Sound of Silence,392022,747417458
Alok - Hear Me Now,274703,747126912
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",2008100,746605010
Travis Scott - Goosebumps,238912,745812201
Foo Fighters - The Pretender,386410,745235821
Mau y Ricky - Desconocidos,166151,744953688
Ed Sheeran - Don't,163484,744701459
Anuel AA - Secreto,156015,744681348
Little Mix - Shout Out to My Ex,174908,743340845
Lil Peep - Save That Shit,240877,743289551
Britney Spears - Oops!...I Did It Again,476386,742983680
Hippie Sabotage - Devil Eyes,347553,742869212
My Chemical Romance - Welcome to the Black Parade,345842,742029445
Paramore - Still into You,444602,741273410
Sean Kingston - Beautiful Girls,547019,740843715
Lukas Graham - Love Someone,174627,738975032
Hotel Ugly - Shut up My Moms Calling,1451788,738224802
Sixpence None The Richer - Kiss Me,699888,737535454
will.i.am - Scream & Shout,458701,737510185
Olivia Rodrigo - All I Want,559147,735920066
Drake - Chicago Freestyle,337351,735612938
Future - WAIT FOR U,484183,735546110
Khalid - Saturday Nights,125581,735051346
Idina Menzel - Let It Go,354818,734412067
The Proclaimers - I'm Gonna Be (500 Miles),340365,733755120
Paulo Londra - Tal Vez,235371,733662889
Ellie Goulding - Hate Me,281358,733655467
Lil Nas X - Panini,101698,733648769
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),555829,733415841
Justin Bieber - Hold On,176443,733369634
Elton John - Don't Go Breaking My Heart,579339,733223294
Piso 21 - Te Vi,287457,731935597
Alessia Cara - How Far I'll Go,123056,730969389
Bad Bunny - Yo Perreo Sola,166874,730951729
Taylor Swift - ME!,320741,730859004
Frank Ocean - Ivy,632072,729980213
Noah Kahan - Stick Season,3375835,729482439
The Notorious B.I.G. - Juicy,228623,729467958
Haddaway - What Is Love,558950,729336735
BENEE - Supalonely,117790,729228566
Rihanna - Take A Bow,256045,728937582
Labrinth - Jealous,173871,728819708
Jack Harlow - Whats Poppin,153612,728808846
Katrina & The Waves - Walking On Sunshine,438280,728808613
Disturbed - Down with the Sickness,357746,728234865
Elton John - Tiny Dancer,330569,727996810
Frank Ocean - Chanel,249669,727988713
Counting Crows - Mr. Jones,334657,727913458
50 Cent - P.I.M.P.,462710,727205539
A Boogie Wit da Hoodie - Look Back at It,445132,726882737
Anuel AA - Amanece,663248,726858199
Baby Keem - family ties,552774,726801938
Felix Jaehn - Ain't Nobody (Loves Me Better),194862,724925031
Ashe - Moral of the Story,506029,724878598
Bazzi - Beautiful,119603,724263051
Weezer - Island In The Sun,426279,723813237
CNCO - Reggaetón Lento (Bailemos),201576,723114310
Bob Marley & The Wailers - Is This Love,607069,723097459
"Beach Weather - Sex, Drugs, Etc.",1167599,722578257
Jon Bellion - All Time Low,117197,722308917
Sublime - Santeria,398144,721597144
A$AP Ferg - Plain Jane,232386,721453512
Paloma Faith - Only Love Can Hurt Like This,596024,721442536
Travis Scott - STARGAZING,213746,721201758
Taylor Swift - exile,531470,720939127
Estelle - American Boy,440242,720603127
2Pac - Ambitionz Az A Ridah,311178,720030884
Bonnie Tyler - Total Eclipse of the Heart,455072,719880292
Alex & Sierra - Little Do You Know,166244,719653678
Chief Keef - Love Sosa,562088,719515844
Young Thug - The London,107246,718180050
Taylor Swift - Karma,933133,717938435
USHER - My Boo,646619,717663258
Led Zeppelin - Immigrant Song,393488,716433010
Tory Lanez - The Color Violet,1085086,716419200
Julia Michaels - What A Time,314847,715997836
Alan Walker - Alone,255622,715684007
Lil Mosey - Noticed,171236,715529316
Green Day - Wake Me up When September Ends,304184,714301052
M.I.A. - Paper Planes,338981,714156793
Lil Wayne - Love Me,827993,713682870
James Arthur - Can I Be Him,396134,713595217
Taylor Swift - The Man,728779,713534123
Otis Redding - (Sittin' On) the Dock of the Bay,566332,713019145
Eyedress - Jealous,904535,712981004
Mustard - Pure Water,191337,712801591
Kendrick Lamar - m.A.A.d city,235408,712440130
Sub Urban - Cradles,309878,712423475
Lil Tjay - F.N,360508,711319140
Romeo Santos - Propuesta Indecente,440629,710745578
Iggy Azalea - Fancy,181795,710633816
Bad Bunny - Tarot,339988,710616048
James Bay - Hold Back The River,249357,710107452
Rixton - Me And My Broken Heart,308037,709800546
Three Days Grace - I Hate Everything About You,485955,708962144
MEDUZA - Paradise,248892,708933640
Bee Gees - How Deep Is Your Love,440493,708142237
Maluma - Borro Cassette,401197,707282667
The Beatles - Come Together,373806,707250089
MGMT - Electric Feel,504269,707128878
Drake - Knife Talk,309816,706497188
Maluma - 11 PM,195438,706480432
Maroon 5 - Beautiful Mistakes,292894,706189198
Rihanna - Pon de Replay,436734,706168809
KAROL G - QLONA,1959366,705672558
Flo Rida - GDFR,151410,705254312
Big Sean - Bounce Back,80666,705086483
Ed Sheeran - Supermarket Flowers,211835,705000393
Katy Perry - Teenage Dream,548890,704633124
Slipknot - Duality,537869,704441873
Scorpions - Wind Of Change,486130,703231869
Mumford & Sons - Little Lion Man,297552,703157190
Dalex - Pa Mí,176857,702768434
2Pac - California Love,530777,702465048
Don McLean - American Pie,321139,702071593
Drake - Teenage Fever,460868,701858091
Young Thug - pick up the phone,221540,701630983
Bad Bunny - La Difícil,235865,701192265
DJ Khaled - POPSTAR,130195,700780872
Jason Derulo - Take You Dancing,187108,700642680
StaySolidRocky - Party Girl,316001,700326315
New West - Those Eyes,1093353,700269427
Panic! At The Disco - House of Memories,558860,699871602
Bad Bunny - Party,292724,699792432
DMX - X Gon' Give It To Ya,239516,699413325
Fort Minor - Remember the Name,201568,699308875
Shakira - Te Felicito,447757,698721779
The Game - Hate It Or Love It,637313,698547914
Jason Mraz - Lucky,246865,697665499
Jason Derulo - Talk Dirty,316565,696961800
John Newman - Love Me Again,372235,696713783
BTS - Life Goes On,238704,696250850
Reik - Me Niego,154758,695533050
Eminem - Lucky You,143633,695374715
Becky G - Mayores,173630,695033063
Taylor Swift - Love Story (Taylor’s Version),985510,695026542
Red Hot Chili Peppers - Dani California,315836,694875585
Darius Rucker - Wagon Wheel,397145,694335991
ATB - Your Love (9PM),374601,694260655
The Cure - Friday I'm In Love,490915,694176196
Pink Floyd - Wish You Were Here,332744,694160801
Bad Bunny - TE MUDASTE,291195,693987100
blackbear - idfc,127613,693595387
Rae Sremmurd - This Could Be Us,302719,693351934
The Police - Roxanne,425428,693282448
Clairo - Sofia,453475,693233214
Imagine Dragons - It's Time,256382,692970693
The Rolling Stones - (I Can't Get No) Satisfaction,378200,692403570
Tainy - Adicto,213928,692399731
Joji - YEAH RIGHT,181711,692354160
Maroon 5 - Cold,207678,691670901
Kanye West - I Love It (& Lil Pump),135949,691468904
Selena Gomez - Good For You,126062,691116950
Guns N' Roses - Knockin' On Heaven's Door,431149,690966400
JACKBOYS - OUT WEST,230402,690280381
